frac,inteiras,filename,nodes,lb,ub,root,time,nodes,heuristica,valor
"rand-4-25-25-500-2,dssp",1,0,1E+020,0,"180,017978",2,289,1E+020,,
"rand-4-25-25-750-1,dssp",1,0,1E+020,0,"180,038714",2,435,1E+020,,
"rand-4-25-25-750-2,dssp",1,0,1E+020,0,"180,025391",2,437,1E+020,,
"rand-4-5-5-1000-1,dssp",1,0,1E+020,0,"180,014786",2,580,391,,
"rand-4-5-5-1000-2,dssp",1,0,1E+020,0,"180,008467",2,585,381,,
"rand-4-5-5-250-1,dssp",1,0,1E+020,0,"180,001098",2,141,91,,
"rand-4-5-5-250-2,dssp",1,0,1E+020,0,"180,000216",2,142,69,,
"rand-4-5-5-500-1,dssp",1,0,1E+020,0,"180,001395",2,289,192,,
"rand-4-5-5-500-2,dssp",1,0,1E+020,0,"180,004147",2,289,165,,
"rand-4-5-5-750-1,dssp",1,0,1E+020,0,"180,003398",2,428,294,,
"rand-4-5-5-750-2,dssp",1,0,1E+020,0,"180,00239",2,427,278,,
