frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor,
"rand-4-25-25-250-1,dssp",1,139,1E+020,139,"0,000109",2,RA,141,-2,2,
"rand-4-25-25-250-2,dssp",1,"95,732034",1E+020,"95,732034","0,000108",2,RA,98,"-2,267966","2,267966",
"rand-4-25-25-500-1,dssp",1,"273,046561",1E+020,"273,046561","0,000134",2,RA,275,"-1,953439","1,953439",
"rand-4-25-25-500-2,dssp",1,190,1E+020,190,"0,000134",2,RA,192,-2,2,
"rand-4-25-25-750-1,dssp",1,"414,077776",1E+020,"414,077776","0,000168",2,RA,416,"-1,922224","1,922224",
"rand-4-25-25-750-2,dssp",1,283,1E+020,283,"0,000174",2,RA,284,-1,1,"0,7724342"
"rand-4-5-5-1000-1,dssp",1,465,465,465,"0,000119",10,RA,465,0,0,
"rand-4-5-5-1000-2,dssp",1,341,341,341,"0,000114",10,RA,341,0,0,
"rand-4-5-5-250-1,dssp",1,117,117,117,"0,000075",10,RA,117,0,0,
"rand-4-5-5-250-2,dssp",1,88,88,88,"0,000074",10,RA,88,0,0,
"rand-4-5-5-500-1,dssp",1,234,1E+020,234,"0,000108",2,RA,235,-1,1,
"rand-4-5-5-500-2,dssp",1,171,171,171,"0,000086",10,RA,171,0,0,
"rand-4-5-5-750-1,dssp",1,353,353,353,"0,000108",10,RA,353,0,0,
"rand-4-5-5-750-2,dssp",1,262,262,262,"0,0001",10,RA,262,0,0,
,,,,,,,,,"-0,653775475","0,653775475",
,,,,,,,,,,"0,7724342",
