frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand-20-100-100-10-1,dssp",1,9,9,9,"0,000064",10,RA,9,0,
"rand-20-100-100-10-2,dssp",1,5,5,5,"0,000057",10,RA,5,0,
"rand-20-100-100-15-1,dssp",1,12,12,12,"0,000067",10,RA,12,0,
"rand-20-100-100-15-2,dssp",1,7,7,7,"0,000065",10,RA,7,0,
"rand-20-100-100-20-1,dssp",1,16,1E+020,16,"0,000093",2,RA,17,-1,
"rand-20-100-100-20-2,dssp",1,10,10,10,"0,000066",10,RA,10,0,
"rand-20-100-100-25-1,dssp",1,18,18,18,"0,000069",10,RA,18,0,
"rand-20-100-100-25-2,dssp",1,12,12,12,"0,00007",10,RA,12,0,
"rand-20-100-100-5-1,dssp",1,5,5,5,"0,000056",10,RA,5,0,
"rand-20-100-100-5-2,dssp",1,2,2,2,"0,00005",10,RA,2,0,
"rand-20-150-150-10-1,dssp",1,8,8,8,"0,000068",10,RA,8,0,
"rand-20-150-150-10-2,dssp",1,5,5,5,"0,000068",10,RA,5,0,
"rand-20-150-150-15-1,dssp",1,12,12,12,"0,000072",10,RA,12,0,
"rand-20-150-150-15-2,dssp",1,7,7,7,"0,000069",10,RA,7,0,
"rand-20-150-150-20-1,dssp",1,16,16,16,"0,000078",10,RA,16,0,
"rand-20-150-150-20-2,dssp",1,10,10,10,"0,000074",10,RA,10,0,
"rand-20-150-150-25-1,dssp",1,19,19,19,"0,000081",10,RA,19,0,
"rand-20-150-150-25-2,dssp",1,12,12,12,"0,000075",10,RA,12,0,
"rand-20-150-150-5-1,dssp",1,5,5,5,"0,000063",10,RA,5,0,
"rand-20-150-150-5-2,dssp",1,2,2,2,"0,000058",10,RA,2,0,
"rand-20-200-200-10-1,dssp",1,9,9,9,"0,000075",10,RA,9,0,
"rand-20-200-200-10-2,dssp",1,5,5,5,"0,00007",10,RA,5,0,
"rand-20-200-200-15-1,dssp",1,12,12,12,"0,000075",10,RA,12,0,
"rand-20-200-200-15-2,dssp",1,7,7,7,"0,000077",10,RA,7,0,
"rand-20-200-200-20-1,dssp",1,16,16,16,"0,000103",10,RA,16,0,
"rand-20-200-200-20-2,dssp",1,10,10,10,"0,000107",10,RA,10,0,
"rand-20-200-200-25-1,dssp",1,19,19,19,"0,000103",10,RA,19,0,
"rand-20-200-200-25-2,dssp",1,12,12,12,"0,0001",10,RA,12,0,
"rand-20-200-200-5-1,dssp",1,5,5,5,"0,000073",10,RA,5,0,
"rand-20-200-200-5-2,dssp",1,2,2,2,"0,000073",10,RA,2,0,
"rand-20-250-250-10-1,dssp",1,9,9,9,"0,000088",10,RA,9,0,
"rand-20-250-250-10-2,dssp",1,5,5,5,"0,000084",10,RA,5,0,
"rand-20-250-250-15-1,dssp",1,12,12,12,"0,000075",10,RA,12,0,
"rand-20-250-250-15-2,dssp",1,7,7,7,"0,000074",10,RA,7,0,
"rand-20-250-250-20-1,dssp",1,16,16,16,"0,000082",10,RA,16,0,
"rand-20-250-250-20-2,dssp",1,10,10,10,"0,000083",10,RA,10,0,
"rand-20-250-250-25-1,dssp",1,19,19,19,"0,00009",10,RA,19,0,
"rand-20-250-250-25-2,dssp",1,12,12,12,"0,000089",10,RA,12,0,
"rand-20-250-250-5-1,dssp",1,5,5,5,"0,000067",10,RA,5,0,
"rand-20-250-250-5-2,dssp",1,2,2,2,"0,000068",10,RA,2,0,
"rand-20-50-50-10-1,dssp",1,8,8,8,"0,000053",10,RA,8,0,
"rand-20-50-50-10-2,dssp",1,5,5,5,"0,00006",10,RA,5,0,
"rand-20-50-50-15-1,dssp",1,12,12,12,"0,000061",10,RA,12,0,
"rand-20-50-50-15-2,dssp",1,7,7,7,"0,00006",10,RA,7,0,
"rand-20-50-50-20-1,dssp",1,15,15,15,"0,000065",10,RA,15,0,
"rand-20-50-50-20-2,dssp",1,10,10,10,"0,000062",10,RA,10,0,
"rand-20-50-50-25-1,dssp",1,18,18,18,"0,000064",10,RA,18,0,
"rand-20-50-50-25-2,dssp",1,12,12,12,"0,000068",10,RA,12,0,
"rand-20-50-50-5-1,dssp",1,5,5,5,"0,000052",10,RA,5,0,
"rand-20-50-50-5-2,dssp",1,2,2,2,"0,000054",10,RA,2,0,
"rand-4-100-100-10-1,dssp",1,8,1E+020,8,"0,000083",2,RA,9,-1,
"rand-4-100-100-10-2,dssp",1,5,5,5,"0,000058",10,RA,5,0,
"rand-4-100-100-15-1,dssp",1,"10,737409",1E+020,"10,737409","0,000086",2,RA,12,"-1,262591",
"rand-4-100-100-15-2,dssp",1,7,7,7,"0,000059",10,RA,7,0,
"rand-4-100-100-20-1,dssp",1,14,1E+020,14,"0,000086",2,RA,16,-2,
"rand-4-100-100-20-2,dssp",1,10,10,10,"0,000061",10,RA,10,0,
"rand-4-100-100-25-1,dssp",1,17,1E+020,17,"0,000092",2,RA,19,-2,
"rand-4-100-100-25-2,dssp",1,12,12,12,"0,000068",10,RA,12,0,
"rand-4-100-100-5-1,dssp",1,4,1E+020,4,"0,000071",2,RA,5,-1,
"rand-4-100-100-5-2,dssp",1,2,2,2,"0,000055",10,RA,2,0,
"rand-4-150-150-10-1,dssp",1,8,1E+020,8,"0,000095",2,RA,10,-2,
"rand-4-150-150-10-2,dssp",1,5,5,5,"0,000071",10,RA,5,0,
"rand-4-150-150-15-1,dssp",1,11,1E+020,11,"0,000091",2,RA,14,-3,
"rand-4-150-150-15-2,dssp",1,7,7,7,"0,000067",10,RA,7,0,
"rand-4-150-150-20-1,dssp",1,14,1E+020,14,"0,000095",2,RA,16,-2,
"rand-4-150-150-20-2,dssp",1,10,10,10,"0,000066",10,RA,10,0,
"rand-4-150-150-25-1,dssp",1,"16,98373",1E+020,"16,98373","0,0001",2,RA,18,"-1,01627",
"rand-4-150-150-25-2,dssp",1,12,12,12,"0,000069",10,RA,12,0,
"rand-4-150-150-5-1,dssp",1,4,1E+020,4,"0,000074",2,RA,5,-1,
