frac,inteiras,filename,nodes,lb,ub,root,time,status,filename,valor
"rand0-4-25-25-50-1,dssp",1,0,1E+020,0,"180,000138",2,27,VNS,15,12
"rand0-4-25-25-50-2,dssp",1,0,1E+020,0,"180,000328",2,28,VNS,14,14
"rand0-4-25-25-50-3,dssp",1,0,1E+020,0,"180,000197",2,28,VNS,11,17
"rand0-4-25-25-50-4,dssp",1,0,1E+020,0,"180,000171",2,25,VNS,8,17
"rand0-4-25-25-50-5,dssp",1,0,1E+020,0,"180,000203",2,28,VNS,8,20
"rand0-4-5-5-10-1,dssp",1,0,1E+020,0,"180,000113",2,4,VNS,3,1
"rand0-4-5-5-10-2,dssp",1,0,1E+020,0,"180,000112",2,5,VNS,3,2
"rand0-4-5-5-10-3,dssp",1,0,1E+020,0,"180,00011",2,3,VNS,2,1
"rand0-4-5-5-10-4,dssp",1,0,1E+020,0,"180,00011",2,3,VNS,1,2
"rand0-4-5-5-10-5,dssp",1,0,1E+020,0,"180,000111",2,3,VNS,2,1
,,,,,,,,,,"7,6"
,,,,,,,,,,"5,968385177"
