frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand0-4-25-25-50-2,dssp",1,"-47,320877",1E+020,"-47,320877","0,000048",2,RA,-46,"-1,320877",
"rand0-4-25-25-50-3,dssp",1,-48,-48,-48,"0,000041",10,RA,-48,0,
"rand0-4-25-25-50-4,dssp",1,-48,-48,-48,"0,000044",10,RA,-48,0,
"rand0-4-25-25-50-5,dssp",1,"-48,95",1E+020,"-48,95","0,000048",2,RA,-48,"-0,95",
"rand0-4-5-5-10-1,dssp",1,-9,-9,-9,"0,000035",10,RA,-9,0,
"rand0-4-5-5-10-2,dssp",1,-10,-10,-10,"0,000035",10,RA,-10,0,
"rand0-4-5-5-10-3,dssp",1,-10,-10,-10,"0,000033",10,RA,-10,0,
"rand0-4-5-5-10-4,dssp",1,-10,-10,-10,"0,000034",10,RA,-10,0,
"rand0-4-5-5-10-5,dssp",1,-10,-10,-10,"0,000034",10,RA,-10,0,
,,,,,,,,,"-0,15133548",
,,,,,,,,,"0,3693381213",
