frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand-20-100-100-10-1,dssp",1,-9,-9,-9,"0,000055",10,RA,-9,0,
"rand-20-100-100-10-2,dssp",1,-10,-10,-10,"0,000045",10,RA,-10,0,
"rand-20-100-100-15-1,dssp",1,-14,-14,-14,"0,000049",10,RA,-14,0,
"rand-20-100-100-15-2,dssp",1,-14,-14,-14,"0,00005",10,RA,-14,0,
"rand-20-100-100-20-1,dssp",1,-19,-19,-19,"0,000053",10,RA,-19,0,
"rand-20-100-100-20-2,dssp",1,-19,-19,-19,"0,000055",10,RA,-19,0,
"rand-20-100-100-25-1,dssp",1,-24,-24,-24,"0,000057",10,RA,-24,0,
"rand-20-100-100-25-2,dssp",1,-24,-24,-24,"0,000057",10,RA,-24,0,
"rand-20-100-100-5-1,dssp",1,-4,-4,-4,"0,000044",10,RA,-4,0,
"rand-20-100-100-5-2,dssp",1,-5,-5,-5,"0,000039",10,RA,-5,0,
"rand-20-150-150-10-1,dssp",1,-9,-9,-9,"0,000047",10,RA,-9,0,
"rand-20-150-150-10-2,dssp",1,-9,-9,-9,"0,000047",10,RA,-9,0,
"rand-20-150-150-15-1,dssp",1,-14,-14,-14,"0,000054",10,RA,-14,0,
"rand-20-150-150-15-2,dssp",1,-14,-14,-14,"0,000053",10,RA,-14,0,
"rand-20-150-150-20-1,dssp",1,-19,-19,-19,"0,000058",10,RA,-19,0,
"rand-20-150-150-20-2,dssp",1,-19,-19,-19,"0,000059",10,RA,-19,0,
"rand-20-150-150-25-1,dssp",1,-24,-24,-24,"0,000064",10,RA,-24,0,
"rand-20-150-150-25-2,dssp",1,-24,-24,-24,"0,000064",10,RA,-24,0,
"rand-20-150-150-5-1,dssp",1,-4,-4,-4,"0,000045",10,RA,-4,0,
"rand-20-150-150-5-2,dssp",1,-4,-4,-4,"0,000043",10,RA,-4,0,
"rand-20-200-200-10-1,dssp",1,-9,-9,-9,"0,00005",10,RA,-9,0,
"rand-20-200-200-10-2,dssp",1,-9,-9,-9,"0,000053",10,RA,-9,0,
"rand-20-200-200-15-1,dssp",1,-14,-14,-14,"0,000057",10,RA,-14,0,
"rand-20-200-200-15-2,dssp",1,-14,-14,-14,"0,000056",10,RA,-14,0,
"rand-20-200-200-20-1,dssp",1,-19,1E+020,-19,"0,000078",2,RA,-18,-1,
"rand-20-200-200-20-2,dssp",1,-19,-19,-19,"0,000116",10,RA,-19,0,
"rand-20-200-200-25-1,dssp",1,-24,1E+020,-24,"0,000072",2,RA,-23,-1,
"rand-20-200-200-25-2,dssp",1,-24,-24,-24,"0,00007",10,RA,-24,0,
"rand-20-200-200-5-1,dssp",1,-4,-4,-4,"0,000046",10,RA,-4,0,
"rand-20-200-200-5-2,dssp",1,-4,-4,-4,"0,000045",10,RA,-4,0,
"rand-20-250-250-10-1,dssp",1,-9,-9,-9,"0,000054",10,RA,-9,0,
"rand-20-250-250-10-2,dssp",1,-9,-9,-9,"0,000055",10,RA,-9,0,
"rand-20-250-250-15-1,dssp",1,-14,1E+020,-14,"0,000063",2,RA,-12,-2,
"rand-20-250-250-15-2,dssp",1,-14,-14,-14,"0,000062",10,RA,-14,0,
"rand-20-250-250-20-1,dssp",1,-19,1E+020,-19,"0,000071",2,RA,-18,-1,
"rand-20-250-250-20-2,dssp",1,-19,1E+020,-19,"0,000079",2,RA,-18,-1,
"rand-20-250-250-25-1,dssp",1,-24,1E+020,-24,"0,000073",2,RA,-23,-1,
"rand-20-250-250-25-2,dssp",1,-24,1E+020,-24,"0,000084",2,RA,-23,-1,
"rand-20-250-250-5-1,dssp",1,-4,-4,-4,"0,000051",10,RA,-4,0,
"rand-20-250-250-5-2,dssp",1,-4,-4,-4,"0,000049",10,RA,-4,0,
"rand-20-50-50-10-1,dssp",1,-10,-10,-10,"0,000042",10,RA,-10,0,
"rand-20-50-50-10-2,dssp",1,-10,-10,-10,"0,00004",10,RA,-10,0,
"rand-20-50-50-15-1,dssp",1,-14,-14,-14,"0,000048",10,RA,-14,0,
"rand-20-50-50-15-2,dssp",1,-15,-15,-15,"0,000044",10,RA,-15,0,
"rand-20-50-50-20-1,dssp",1,-20,-20,-20,"0,000045",10,RA,-20,0,
"rand-20-50-50-20-2,dssp",1,-20,-20,-20,"0,00006",10,RA,-20,0,
"rand-20-50-50-25-1,dssp",1,-25,-25,-25,"0,000049",10,RA,-25,0,
"rand-20-50-50-25-2,dssp",1,-25,-25,-25,"0,000049",10,RA,-25,0,
"rand-20-50-50-5-1,dssp",1,-5,-5,-5,"0,000037",10,RA,-5,0,
"rand-20-50-50-5-2,dssp",1,-5,-5,-5,"0,000036",10,RA,-5,0,
"rand-4-100-100-10-1,dssp",1,-7,1E+020,-7,"0,000047",2,RA,-5,-2,
"rand-4-100-100-10-2,dssp",1,-8,1E+020,-8,"0,00005",2,RA,-7,-1,
"rand-4-100-100-15-1,dssp",1,-11,1E+020,-11,"0,000051",2,RA,-10,-1,
"rand-4-100-100-15-2,dssp",1,"-12,846466",1E+020,"-12,846466","0,000052",2,RA,-11,"-1,846466",
"rand-4-100-100-20-1,dssp",1,-16,1E+020,-16,"0,000054",2,RA,-14,-2,
"rand-4-100-100-20-2,dssp",1,"-17,221551",1E+020,"-17,221551","0,000052",2,RA,-15,"-2,221551",
"rand-4-100-100-25-1,dssp",1,"-20,181843",1E+020,"-20,181843","0,000055",2,RA,-18,"-2,181843",
"rand-4-100-100-25-2,dssp",1,"-21,878554",1E+020,"-21,878554","0,000056",2,RA,-20,"-1,878554",
"rand-4-100-100-5-1,dssp",1,-3,1E+020,-3,"0,000048",2,RA,-1,-2,
"rand-4-100-100-5-2,dssp",1,-4,1E+020,-4,"0,000046",2,RA,-3,-1,
"rand-4-150-150-10-1,dssp",1,-7,1E+020,-7,"0,000051",2,RA,-5,-2,
"rand-4-150-150-10-2,dssp",1,-8,1E+020,-8,"0,000053",2,RA,-6,-2,
"rand-4-150-150-15-1,dssp",1,"-11,691933",1E+020,"-11,691933","0,000056",2,RA,-10,"-1,691933",
"rand-4-150-150-15-2,dssp",1,"-12,851243",1E+020,"-12,851243","0,000055",2,RA,-11,"-1,851243",
"rand-4-150-150-20-1,dssp",1,"-15,861824",1E+020,"-15,861824","0,000059",2,RA,-13,"-2,861824",
"rand-4-150-150-20-2,dssp",1,"-17,05876",1E+020,"-17,05876","0,000059",2,RA,-14,"-3,05876",
"rand-4-150-150-25-1,dssp",1,"-19,801118",1E+020,"-19,801118","0,000063",2,RA,-17,"-2,801118",
"rand-4-150-150-25-2,dssp",1,-21,1E+020,-21,"0,000064",2,RA,-19,-2,
"rand-4-150-150-5-1,dssp",1,-3,1E+020,-3,"0,000052",2,RA,-1,-2,
"rand-4-150-150-5-2,dssp",1,-4,1E+020,-4,"0,000049",2,RA,-3,-1,
"rand-4-200-200-10-1,dssp",1,-7,1E+020,-7,"0,000054",2,RA,-4,-3,
"rand-4-200-200-10-2,dssp",1,-8,1E+020,-8,"0,000058",2,RA,-6,-2,
"rand-4-200-200-15-1,dssp",1,-11,1E+020,-11,"0,000059",2,RA,-8,-3,
"rand-4-200-200-15-2,dssp",1,"-12,760578",1E+020,"-12,760578","0,00006",2,RA,-11,"-1,760578",
"rand-4-200-200-20-1,dssp",1,-15,1E+020,-15,"0,000067",2,RA,-12,-3,
"rand-4-200-200-20-2,dssp",1,"-16,978392",1E+020,"-16,978392","0,000063",2,RA,-14,"-2,978392",
"rand-4-200-200-25-1,dssp",1,-19,1E+020,-19,"0,000068",2,RA,-16,-3,
"rand-4-200-200-25-2,dssp",1,-21,1E+020,-21,"0,000073",2,RA,-19,-2,
"rand-4-200-200-5-1,dssp",1,-3,1E+020,-3,"0,000051",2,RA,-2,-1,
"rand-4-200-200-5-2,dssp",1,-4,1E+020,-4,"0,000049",2,RA,-3,-1,
"rand-4-250-250-10-1,dssp",1,-7,1E+020,-7,"0,000057",2,RA,-5,-2,
"rand-4-250-250-10-2,dssp",1,-8,1E+020,-8,"0,000057",2,RA,-6,-2,
"rand-4-250-250-15-1,dssp",1,-11,1E+020,-11,"0,000063",2,RA,-9,-2,
"rand-4-250-250-15-2,dssp",1,"-12,711257",1E+020,"-12,711257","0,000063",2,RA,-10,"-2,711257",
"rand-4-250-250-20-1,dssp",1,-15,1E+020,-15,"0,000072",2,RA,-12,-3,
"rand-4-250-250-20-2,dssp",1,"-16,967616",1E+020,"-16,967616","0,000071",2,RA,-15,"-1,967616",
"rand-4-250-250-25-1,dssp",1,-19,1E+020,-19,"0,000076",2,RA,-16,-3,
"rand-4-250-250-25-2,dssp",1,-21,1E+020,-21,"0,000074",2,RA,-18,-3,
"rand-4-250-250-5-1,dssp",1,-3,1E+020,-3,"0,000056",2,RA,-2,-1,
"rand-4-250-250-5-2,dssp",1,-4,1E+020,-4,"0,000054",2,RA,-3,-1,
"rand-4-50-50-10-1,dssp",1,-7,1E+020,-7,"0,000047",2,RA,-5,-2,
"rand-4-50-50-10-2,dssp",1,-8,1E+020,-8,"0,000048",2,RA,-7,-1,
"rand-4-50-50-15-1,dssp",1,-12,1E+020,-12,"0,000048",2,RA,-11,-1,
"rand-4-50-50-15-2,dssp",1,"-13,116286",1E+020,"-13,116286","0,000048",2,RA,-12,"-1,116286",
"rand-4-50-50-20-1,dssp",1,"-16,259517",1E+020,"-16,259517","0,00005",2,RA,-14,"-2,259517",
"rand-4-50-50-20-2,dssp",1,-17,-17,-17,"0,000041",10,RA,-17,0,
"rand-4-50-50-25-1,dssp",1,-20,1E+020,-20,"0,000053",2,RA,-18,-2,
"rand-4-50-50-25-2,dssp",1,-22,1E+020,-22,"0,000051",2,RA,-21,-1,
"rand-4-50-50-5-1,dssp",1,-3,-3,-3,"0,000038",10,RA,-3,0,
"rand-4-50-50-5-2,dssp",1,-4,1E+020,-4,"0,000043",2,RA,-3,-1,
,,,,,,,,,"-1,02186938",
,,,,,,,,,"1,0751502992",
