frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand-20-10-10-1000-1,dssp",1,606,606,606,"180,000142",10,606,VNS,0,
"rand-20-10-10-1000-2,dssp",1,392,392,392,"180,000194",10,392,VNS,0,
"rand-20-10-10-250-1,dssp",1,153,153,153,"180,000188",10,153,VNS,0,
"rand-20-10-10-250-2,dssp",1,99,1E+020,99,"180,000191",2,99,VNS,0,
"rand-20-10-10-500-1,dssp",1,304,304,304,"180,000151",10,304,VNS,0,
"rand-20-10-10-500-2,dssp",1,196,1E+020,196,"180,000267",2,196,VNS,0,
"rand-20-10-10-750-1,dssp",1,450,450,450,"180,000135",10,450,VNS,0,
"rand-20-10-10-750-2,dssp",1,296,296,296,"180,00029",10,296,VNS,0,
"rand-20-15-15-1000-1,dssp",1,620,620,620,"180,000348",10,620,VNS,0,
"rand-20-15-15-1000-2,dssp",1,397,397,397,"180,000559",10,397,VNS,0,
"rand-20-15-15-250-1,dssp",1,156,1E+020,156,"180,000144",2,156,VNS,0,
"rand-20-15-15-250-2,dssp",1,102,1E+020,102,"180,000132",2,102,VNS,0,
"rand-20-15-15-500-1,dssp",1,313,1E+020,313,"180,000175",2,313,VNS,0,
"rand-20-15-15-500-2,dssp",1,198,198,198,"180,000316",10,198,VNS,0,
"rand-20-15-15-750-1,dssp",1,467,467,467,"180,000158",10,467,VNS,0,
"rand-20-15-15-750-2,dssp",1,296,296,296,"180,000218",10,296,VNS,0,
"rand-20-20-20-1000-1,dssp",1,"620,996555",1E+020,"620,996555","180,000336",2,622,VNS,"-1,003445",
"rand-20-20-20-1000-2,dssp",1,403,403,403,"180,000192",10,403,VNS,0,
"rand-20-20-20-250-1,dssp",1,161,1E+020,161,"180,000185",2,161,VNS,0,
"rand-20-20-20-250-2,dssp",1,104,1E+020,104,"180,000242",2,104,VNS,0,
"rand-20-20-20-500-1,dssp",1,309,1E+020,309,"180,000161",2,309,VNS,0,
"rand-20-20-20-500-2,dssp",1,200,200,200,"180,000381",10,200,VNS,0,
"rand-20-20-20-750-1,dssp",1,"467,074287",1E+020,"467,074287","180,000352",2,468,VNS,"-0,925713",
"rand-20-20-20-750-2,dssp",1,301,301,301,"180,000419",10,301,VNS,0,
"rand-20-25-25-1000-1,dssp",1,627,1E+020,627,"180,000581",2,627,VNS,0,
"rand-20-25-25-1000-2,dssp",1,400,400,400,"180,000596",10,400,VNS,0,
"rand-20-25-25-250-1,dssp",1,159,1E+020,159,"180,00027",2,159,VNS,0,
"rand-20-25-25-250-2,dssp",1,103,103,103,"180,000132",10,103,VNS,0,
"rand-20-25-25-500-1,dssp",1,316,316,316,"180,000288",10,316,VNS,0,
"rand-20-25-25-500-2,dssp",1,200,1E+020,200,"180,000397",2,200,VNS,0,
"rand-20-25-25-750-1,dssp",1,"469,935041",1E+020,"469,935041","180,000509",2,471,VNS,"-1,064959",
"rand-20-25-25-750-2,dssp",1,302,302,302,"180,000439",10,302,VNS,0,
"rand-20-5-5-1000-1,dssp",1,576,576,576,"180,000214",10,576,VNS,0,
"rand-20-5-5-1000-2,dssp",1,380,380,380,"180,000227",10,380,VNS,0,
"rand-20-5-5-250-1,dssp",1,141,141,141,"180,000138",10,141,VNS,0,
"rand-20-5-5-250-2,dssp",1,96,96,96,"180,000157",10,96,VNS,0,
"rand-20-5-5-500-1,dssp",1,286,286,286,"180,000226",10,286,VNS,0,
"rand-20-5-5-500-2,dssp",1,190,190,190,"180,000136",10,190,VNS,0,
"rand-20-5-5-750-1,dssp",1,434,434,434,"180,000251",10,434,VNS,0,
"rand-20-5-5-750-2,dssp",1,288,288,288,"180,000244",10,288,VNS,0,
"rand-4-10-10-1000-1,dssp",1,518,518,518,"180,000322",10,518,VNS,0,
"rand-4-10-10-1000-2,dssp",1,362,362,362,"180,000242",10,362,VNS,0,
"rand-4-10-10-250-1,dssp",1,129,1E+020,129,"180,000174",2,130,VNS,-1,
"rand-4-10-10-250-2,dssp",1,92,92,92,"180,000122",10,92,VNS,0,
"rand-4-10-10-500-1,dssp",1,261,261,261,"180,000201",10,261,VNS,0,
"rand-4-10-10-500-2,dssp",1,185,1E+020,185,"180,000145",2,186,VNS,-1,
"rand-4-10-10-750-1,dssp",1,385,1E+020,385,"180,000151",2,385,VNS,0,
"rand-4-10-10-750-2,dssp",1,267,1E+020,267,"180,00017",2,267,VNS,0,
"rand-4-15-15-1000-1,dssp",1,535,1E+020,535,"180,000368",2,536,VNS,-1,
